txn_id,value_date,amount,direction,utr,narration
BNK000035,12-06-2026,72452.00,DR,UTRREV000001,REVERSAL UTRREV000001 POSTED IN ERR
BNK000022,30-06-2026,6421.78,CR,UTR20260022,NEFT CR-UTR20260022-BHARAT RETAIL V
BNK000044,10-06-2026,5816.00,DR,,LOTUS STATIONERY WORKS LIMITED
BNK000036,08-06-2026,13673.00,CR,UTRREV000002,NEFT CR-UTRREV000002-RAZORPAY SOFTW
BNK000013X,22-06-2026,187076.76,CR,UTR20260014,IMPS/P2A/373512046416/RAZORPAY SOFT
BNK000040,05-06-2026,14877.25,DR,,FORTUNE HOME APPLIANCES PVT LTD
BNK000041,23-06-2026,2170.75,DR,,ACME INDIA PVT LTD
BNK000033,25-06-2026,38049.00,DR,UTRREV000000,REVERSAL UTRREV000000 POSTED IN ERR
BNK000001,03-06-2026,63298.59,CR,UTR20260000,NEFT CR-UTR20260000-BHARAT RETAIL V
BNK000020X,29-06-2026,143361.50,CR,UTR22060020,NEFT-UTR20260020-RAZORPAY SOFTWARE 
BNK000023,01-07-2026,142409.56,CR,UTR20260023,UPI/CR/678213697906/RAZORPAY SOFTWA
BNK000043,19-06-2026,3080.50,DR,,FORTUNE HOME APPLIANCES PVT LTD
BNK000042,12-06-2026,746.49,DR,,EVEREST APPAREL MFG LTD
BNK000029,04-07-2026,2025.00,DR,,UPI/CR/683689674494/COASTAL FOODS &
BNK000027,01-07-2026,1506.00,DR,,NEFT-ARN86979536866-EVEREST APPAREL
BNK000002,04-06-2026,94852.34,CR,UTR20260001,NEFT CR-UTR20260001-RAZORPAY SOFTWA
BNK000026,10-06-2026,492.50,DR,ARN77419236751,RTGS CR ARN77419236751 HIMALAYA ORG
BNK000011,19-06-2026,181868.34,CR,,NEFT-UTR20260012-RAZORPAY SOFTWARE 
BNK000016,23-06-2026,-27167.05,CR,,NEFT-UTR20260016-RAZORPAY SOFTWARE 
BNK000038,10-06-2026,62623.00,CR,UTRREV000003,NEFT CR-UTRREV000003-FORTUNE HOME A
BNK000018,25-06-2026,258267.78,CR,,NEFT-UTR20260018-RAZORPAY SOFTWARE 
BNK000024,03-07-2026,142921.39,CR,UTR20260024,UPI/CR/708229797722/RAZORPAY SOFTWA
BNK000030,28-06-2026,3363.25,DR,,IMPS/P2A/249448226941/FORTUNE HOME 
BNK000017,25-06-2026,222546.68,CR,UTR20620017,NEFT-UTR20260017-RAZORPAY SOFTWARE 
BNK000006,10-06-2026,218082.74,CR,,UPI/CR/456916661013/RAZORPAY SOFTWA
BNK000025,03-07-2026,3499.39,CR,UTR20260025,NEFT-UTR20260025-RAZORPAY SOFTWARE 
BNK000009,16-06-2026,285192.04,CR,UTR20260009,NEFT CR-UTR20260009-RAZORPAY SOFTWA
BNK000028,01-07-2026,25243.49,DR,ARN41170453278,IMPS/P2A/618252404107/ACME INDIA PV
BNK000037,09-06-2026,13673.00,DR,UTRREV000002,REVERSAL UTRREV000002 POSTED IN ERR
BNK000021X,30-06-2026,150615.18,CR,UTR20260021,ACH C- RAZORPAY SOFTWARE PVT LTD UT
BNK000021,30-06-2026,150476.49,CR,UTR20260021,ACH C- RAZORPAY SOFTWARE PVT LTD UT
BNK000005,09-06-2026,142418.02,CR,UTR20260004,RTGS CR UTR20260004 RAZORPAY SOFTWA
BNK000014,23-06-2026,139372.89,CR,UTR20260015,NEFT-UTR20260015-RAZORPAY SOFTWARE 
BNK000013,22-06-2026,186938.46,CR,UTR20260014,NEFT CR-UTR20260014-EVEREST APPAREL
BNK000004,08-06-2026,287249.41,CR,UTR20260003,ACH C- RAZORPAY SOFTWARE PRIVATE LT
BNK000010,17-06-2026,-16193.34,CR,,RTGS CR UTR20260010 RAZORPAY SOFTWA
BNK000031,28-06-2026,19347.49,DR,ARN72751095212,ACH C- EVEREST APPAREL MANUFACTURIN
BNK000007,11-06-2026,101695.18,CR,,ACH C- RAZORPAY SOFTWARE PVT LTD UT
BNK000019,26-06-2026,139698.92,CR,UTR20206019,NEFT CR-UTR20206019-HIMALAYA ORGANI
BNK000008,15-06-2026,260064.22,CR,UTR20260008,NEFT CR-UTR20260008-RAZORPAY SOFTWA
BNK000020,29-06-2026,143128.24,CR,UTR22060020,NEFT-UTR20260020-RAZORPAY SOFTWARE 
BNK000015,23-06-2026,139372.89,CR,UTR20260015,RTGS CR UTR20260015 RAZORPAY SOFTWA
BNK000028X,01-07-2026,25547.54,DR,ARN41170453278,IMPS/P2A/618252404107/ACME INDIA PV
BNK000025X,03-07-2026,3746.66,CR,UTR20260025,NEFT-UTR20260025-RAZORPAY SOFTWARE 
BNK000012,18-06-2026,181868.34,CR,UTR20260012,NEFT-UTR20260012-RAZORPAY SOFTWARE 
BNK000032,24-06-2026,38049.00,CR,UTRREV000000,NEFT CR-UTRREV000000-RAZORPAY SOFTW
BNK000039,12-06-2026,62623.00,DR,UTRREV000003,REVERSAL UTRREV000003 POSTED IN ERR
BNK000034,11-06-2026,72452.00,CR,UTRREV000001,NEFT CR-UTRREV000001-BHARAT RETAIL 
BNK000003,05-06-2026,402787.04,CR,UTR20260002,UPI/CR/206915811424/RAZORPAY SOFTWA
