invoice_id,issued_date,amount,counterparty,status
INV-2026-0051,2026-06-21,2375.50,Lotus Stationery Works Ltd,PAID
INV-2026-0039,2026-06-14,176.00,  Acme India Pvt Ltd ,PAID
INV-2026-0025,2026-06-12,860.00,Bharat Retail Ventures Pvt. Ltd.,PARTIAL
INV-2026-0081,2026-06-09,574.00,Coastal Foods and Beverages Ltd,PAID
INV-2026-0045,2026-06-16,198.75,Deccan Logistics Pvt Ltd,OPEN
INV-2026-0079,2026-06-30,4264.99,Acme India Pvt. Ltd.,OPEN
INV-2026-0113,2026-05-27,5776.00,Konkan Seafoods Pvt Ltd,PAID
INV-2026-0103,2026-06-02,2289.49,Himalaya Organics Pvt Ltd,PAID
INV-2026-0077,2026-06-19,3880.50,Ganga Textiles and Exports Ltd,PAID
INV-2026-0029,2026-06-08,1325.00,Everest Apparel Manufacturing Ltd,PAID
INV-2026-0064,2026-06-12,587.00,Acme India Pvt Ltd,PARTIAL
INV-2026-0028,2026-06-16,2503.50,Fortune Home Appliances Pvt Ltd,PAID
INV-2026-0119,2026-06-10,1029.25,Acme India Pvt Ltd,PAID
INV-2026-0094,2026-06-14,367.01,Bharat Retail Ventures Private Ltd,PAID
INV-2026-0065,2026-06-02,2334.00,Himalaya Organics Pvt Ltd,PARTIAL
INV-2026-0009,2026-06-09,1350.00,LOTUS STATIONERY WORKS LTD.,PARTIAL
INV-2026-0020,2026-06-18,5637.94,  Everest Apparel Manufacturing Ltd. ,PARTIAL
INV-2026-0055,2026-05-30,50296.74,Konkan Seafoods PVT LTD,PAID
INV-2026-0099,2026-06-09,27030.01,Lotus Stationery Works Ltd.,PAID
INV-2026-0010,2026-06-02,7793.49,DECCAN LOGISTICS PVT LTD,OPEN
INV-2026-0043,2026-06-19,5903.16,Fortune Home Appliances Pvt Ltd,PARTIAL
INV-2026-0117,2026-05-26,1718.01,LOTUS STATIONERY WORKS LTD,PAID
INV-2026-0036,2026-06-16,34175.00,Bharat Retail Ventures Pvt Ltd,PAID
INV-2026-0026,2026-05-28,9702.00,Deccan Logistics Pvt Ltd,PAID
INV-2026-0076,2026-06-04,3648.49,Coastal Foods and Beverages Ltd.,PAID
INV-2026-0092,2026-06-15,8709.99,Jyoti Electricals Pvt. Ltd.,PAID
INV-2026-0032,2026-06-30,406.75,Lotus Stationery Works Ltd,PAID
INV-2026-0124,2026-06-10,46261.66,Indus Valley Furnishings Ltd,PARTIAL
INV-2026-0088,2026-06-01,6049.61,Himalaya Organics Pvt Ltd,PARTIAL
INV-2026-0063,2026-05-31,719.99,Himalaya Organics Pvt Ltd,PAID
INV-2026-0044,2026-06-22,7024.45,Lotus Stationery Works Ltd,PARTIAL
INV-2026-0068,2026-06-09,912.75,Indus Valley Furnishings Ltd,PAID
INV-2026-0115,2026-06-04,717.50,Coastal Foods and Beverages Ltd,PAID
INV-2026-0015,2026-06-06,676.50,Konkan Seafoods Pvt. Ltd.,PAID
