adjustment_id,kind,reference_id,posted_date,amount,outcome
cbk_0002-CR,CHARGEBACK_CREDIT,pay_00240,2026-07-10,7533.00,WON
stl_0010-RSV,RESERVE_HELD,stl_0010,2026-06-13,10.20,
stl_0005-RSV,RESERVE_HELD,stl_0005,2026-06-08,1109.36,
stl_0010-RSVR,RESERVE_RELEASED,stl_0010,2026-06-20,10.20,
cbk_0007-CR,CHARGEBACK_CREDIT,pay_00498,2026-08-03,1038.25,WON
cbk_0008,CHARGEBACK_DEBIT,pay_00150,2026-06-12,20876.75,LOST
cbk_0001,CHARGEBACK_DEBIT,pay_00114,2026-06-20,25585.00,LOST
cbk_0009-CR,CHARGEBACK_CREDIT,pay_00355,2026-07-14,583.75,WON
cbk_0000,CHARGEBACK_DEBIT,pay_amb11,2026-07-04,4747.00,WON
cbk_0011,CHARGEBACK_DEBIT,pay_00179,2026-07-07,145.99,WON
stl_0015-RSVR,RESERVE_RELEASED,stl_0015,2026-06-26,725.37,
stl_0000-RSVR,RESERVE_RELEASED,stl_0000,2026-06-08,320.14,
cbk_0011-CR,CHARGEBACK_CREDIT,pay_00179,2026-07-21,145.99,WON
cbk_0010-CR,CHARGEBACK_CREDIT,pay_00409,2026-07-01,499.25,WON
cbk_0009,CHARGEBACK_DEBIT,pay_00355,2026-06-30,583.75,WON
cbk_0000-CR,CHARGEBACK_CREDIT,pay_amb11,2026-07-18,4747.00,WON
cbk_0006,CHARGEBACK_DEBIT,pay_00437,2026-06-11,33367.50,WON
cbk_0005,CHARGEBACK_DEBIT,pay_00299,2026-07-11,2458.00,LOST
cbk_0007,CHARGEBACK_DEBIT,pay_00498,2026-07-20,1038.25,WON
cbk_0003,CHARGEBACK_DEBIT,pay_00475,2026-07-06,569.49,WON
cbk_0004,CHARGEBACK_DEBIT,pay_00061,2026-06-28,2156.00,LOST
cbk_0010,CHARGEBACK_DEBIT,pay_00409,2026-06-17,499.25,WON
stl_0020-RSV,RESERVE_HELD,stl_0020,2026-06-25,733.55,
stl_0015-RSV,RESERVE_HELD,stl_0015,2026-06-19,725.37,
stl_0000-RSV,RESERVE_HELD,stl_0000,2026-06-01,320.14,
stl_0025-RSV,RESERVE_HELD,stl_0025,2026-07-01,15.32,
cbk_0002,CHARGEBACK_DEBIT,pay_00240,2026-06-26,7533.00,WON
