payment_id,order_id,rrn,captured_at,amount,instrument,bank,is_international,status,fee_charged,gst_charged
pay_00028,ord_00028,954417070283,2026-06-22T09:43:01+05:30,432.49,UPI,,false,CAPTURED,0.00,0.00
pay_00076,ord_00076,633807152483,2026-06-02T10:25:46+05:30,8227.25,DEBIT_CARD,,false,CAPTURED,74.05,13.33
pay_00021,ord_00021,104498657750,2026-06-30T09:24:09+05:30,11984.50,CREDIT_CARD,,false,CAPTURED,239.69,43.14
pay_00357,ord_00357,242469777586,2026-06-23T12:25:43+05:30,469.00,DEBIT_CARD,,false,CAPTURED,1.88,0.34
pay_dec5b,ord_dec5b,858176700414,2026-06-01T10:00:57+05:30,2340.00,DEBIT_CARD,,false,CAPTURED,21.06,3.79
pay_00190,ord_00190,349050153097,2026-06-22T20:11:51+05:30,22386.00,CREDIT_CARD,,false,CAPTURED,447.72,80.59
pay_amb11,ord_amb11,206999432339,2026-06-25T23:40:46+05:30,4747.00,CREDIT_CARD,,false,CAPTURED,94.94,17.09
pay_amb41,ord_amb41,671120776961,2026-06-12T23:40:51+05:30,2040.00,CREDIT_CARD,,false,CAPTURED,40.80,7.34
pay_00073,ord_00073,226158239623,2026-06-18T17:01:40+05:30,707.01,UPI,,false,CAPTURED,0.00,0.00
pay_00111,ord_00111,667778725895,2026-06-10T10:16:46+05:30,12562.00,NETBANKING,YES,false,CAPTURED,20.00,3.60
pay_00046,ord_00046,647952060338,2026-06-10T13:08:43+05:30,2208.00,UPI,,false,CAPTURED,0.00,0.00
pay_00080,ord_00080,849727322455,2026-06-09T15:30:31+05:30,4505.49,CREDIT_CARD,,false,CAPTURED,90.11,16.22
pay_00435,ord_00435,564009512786,2026-06-18T10:23:57+05:30,438.00,UPI,,false,CAPTURED,0.00,0.00
pay_00137,ord_00137,800800272804,2026-06-19T09:10:15+05:30,4291.00,NETBANKING,YES,false,CAPTURED,20.00,3.60
pay_00379,ord_00379,724943022317,2026-06-25T11:35:57+05:30,2140.50,DEBIT_CARD,,false,CAPTURED,19.26,3.47
pay_00273,ord_00273,653306346990,2026-06-18T06:08:56+05:30,8709.99,DEBIT_CARD,,false,CAPTURED,78.39,14.11
pay_00149,ord_00149,165593418246,2026-06-04T12:29:19+05:30,1718.01,UPI,,false,CAPTURED,0.00,0.00
pay_00401,ord_00401,135264754090,2026-06-11T16:53:27+05:30,397.25,UPI,,false,CAPTURED,0.00,0.00
pay_dec0a,ord_dec0a,640011176473,2026-06-05T09:00:58+05:30,1852.00,DEBIT_CARD,,false,CAPTURED,7.41,1.33
pay_00216,ord_00216,845858689197,2026-06-10T16:09:22+05:30,45491.75,CREDIT_CARD,,false,CAPTURED,909.84,163.77
pay_00449,ord_00449,534104763865,2026-06-12T16:34:39+05:30,1685.00,DEBIT_CARD,,false,CAPTURED,6.74,1.21
pay_00008,ord_00008,960000409094,2026-06-25T19:00:48+05:30,8115.99,DEBIT_CARD,,false,CAPTURED,73.04,13.15
pay_00203,ord_00203,,2026-06-10T12:27:33+05:30,1279.00,UPI,,false,CAPTURED,0.00,0.00
pay_amb31,ord_amb31,343172849613,2026-06-26T23:40:02+05:30,6577.00,CREDIT_CARD,,false,CAPTURED,131.54,23.68
pay_00472,ord_00472,531651476720,2026-06-04T12:52:59+05:30,38091.25,CREDIT_CARD,,false,CAPTURED,761.83,137.13
pay_00013,ord_00013,511365012757,2026-06-25T16:14:05+05:30,2009.00,UPI,,false,CAPTURED,0.00,0.00
pay_00337,ord_00337,517957678062,2026-06-11T06:31:49+05:30,851.01,DEBIT_CARD,,false,CAPTURED,3.40,0.61
pay_00119,ord_00119,401130711249,2026-06-24T09:23:05+05:30,3363.25,NETBANKING,ICICI,false,CAPTURED,12.00,2.16
pay_00180,ord_00180,953375691334,2026-06-03T18:59:03+05:30,647.75,UPI,,false,CAPTURED,0.00,0.00
pay_00366,ord_00366,722406139118,2026-06-03T13:56:27+05:30,575.49,UPI,,false,CAPTURED,0.00,0.00
pay_00039,ord_00039,207834657095,2026-06-11T07:43:49+05:30,717.50,UPI,,false,CAPTURED,0.00,0.00
pay_00048,ord_00048,652077991676,2026-06-09T11:32:47+05:30,293.00,UPI,,false,CAPTURED,0.00,0.00
pay_00187,ord_00187,502361370262,2026-06-05T16:27:25+05:30,7350.50,DEBIT_CARD,,false,CAPTURED,66.15,11.91
pay_00326,ord_00326,615565680628,2026-06-08T20:58:01+05:30,3788.75,DEBIT_CARD,,false,CAPTURED,34.10,6.14
pay_00043,ord_00043,224652908219,2026-06-04T16:43:19+05:30,7515.50,DEBIT_CARD,,false,CAPTURED,67.64,12.18
pay_00365,ord_00365,381240428323,2026-06-30T15:46:26+05:30,2430.00,UPI,,false,CAPTURED,0.00,0.00
pay_amb20,ord_amb20,654348221566,2026-06-04T11:25:59+05:30,4142.00,CREDIT_CARD,,false,CAPTURED,82.84,14.91
pay_00113,ord_00113,988985004188,2026-06-16T09:35:42+05:30,148.00,UPI,,false,CAPTURED,0.00,0.00
pay_00437,ord_00437,196083842839,2026-06-04T20:54:19+05:30,33367.50,CREDIT_CARD,,false,CAPTURED,667.35,120.12
pay_00068,ord_00068,152244076327,2026-06-10T06:45:11+05:30,677.99,UPI,,false,CAPTURED,0.00,0.00
pay_00169,ord_00169,148809357041,2026-06-19T18:44:59+05:30,11161.01,NETBANKING,YES,false,CAPTURED,26.04,4.69
pay_00338,ord_00338,720625980565,2026-06-24T11:45:08+05:30,779.00,UPI,,false,CAPTURED,0.00,0.00
pay_00007,ord_00007,740888529187,2026-06-23T20:39:00+05:30,2170.75,UPI,,false,CAPTURED,0.00,0.00
pay_00171,ord_00171,980023046500,2026-06-04T22:06:29+05:30,1588.25,UPI,,false,CAPTURED,0.00,0.00
pay_00098,ord_00098,536801949681,2026-06-08T23:20:33+05:30,676.50,DEBIT_CARD,,false,CAPTURED,2.71,0.49
pay_00479,ord_00479,955618500398,2026-06-10T22:54:30+05:30,795.25,UPI,,false,CAPTURED,2.73,0.49
