refund_id,payment_id,arn,issued_at,amount,mode
rfn_0014,pay_00028,,2026-06-24T09:43:01+05:30,432.49,NETTED
rfn_0005,pay_00242,ARN47727251967,2026-06-15T20:42:15+05:30,23622.49,INSTANT
rfn_0021,pay_00317,,2026-06-29T15:58:22+05:30,7140.00,NETTED
rfn_0009,pay_00118,,2026-06-28T10:32:32+05:30,942.50,NETTED
rfn_0013,pay_00208,ARN86979536866,2026-07-01T12:41:38+05:30,1506.00,INSTANT
rfn_0001,pay_00382,,2026-06-02T19:55:30+05:30,2007.49,NETTED
rfn_0031,pay_00324,,2026-06-07T14:59:12+05:30,27962.00,NETTED
rfn_0004,pay_00192,ARN16546794304,2026-06-05T11:08:16+05:30,632.00,NETTED
rfn_0030,pay_00128,ARN20639366133,2026-06-04T06:04:49+05:30,35945.49,NETTED
rfn_0024,pay_00089,ARN18482757057,2026-06-23T07:04:55+05:30,367.01,NETTED
rfn_0026,pay_00326,ARN66880925249,2026-06-14T20:58:01+05:30,3788.75,NETTED
rfn_0010,pay_00191,ARN11968923189,2026-06-09T17:33:57+05:30,2686.00,NETTED
rfn_0029,pay_00081,ARN13557356663,2026-06-14T14:27:04+05:30,1273.99,INSTANT
rfn_0017,pay_00331,ARN41170453278,2026-07-01T15:39:38+05:30,25243.49,INSTANT
rfn_0003,pay_00006,ARN77419236751,2026-06-10T06:04:59+05:30,492.50,INSTANT
rfn_0019,pay_00377,ARN59757837905,2026-06-16T07:07:04+05:30,1165.25,NETTED
rfn_0023,pay_00234,ARN25730850180,2026-06-17T11:35:12+05:30,257.49,NETTED
rfn_0020,pay_00280,ARN24321540047,2026-06-15T20:30:48+05:30,1742.00,NETTED
rfn_0025,pay_00389,ARN50739204364,2026-06-05T07:06:48+05:30,6334.75,NETTED
rfn_0012,pay_00240,,2026-06-24T15:53:28+05:30,7533.00,NETTED
rfn_0018,pay_00232,ARN91365753544,2026-06-05T13:41:51+05:30,15050.99,NETTED
rfn_0027,pay_00001,ARN52705673744,2026-06-21T12:52:45+05:30,21671.49,NETTED
rfn_0000,pay_00311,ARN90964899605,2026-06-26T07:21:46+05:30,39918.75,NETTED
rfn_0008,pay_00014,ARN98405008146,2026-06-16T14:45:42+05:30,40937.01,INSTANT
rfn_0033,pay_00119,,2026-06-28T09:23:05+05:30,3363.25,INSTANT
rfn_0007,pay_00172,ARN34271262962,2026-06-23T09:36:16+05:30,3080.50,NETTED
rfn_0011,pay_00160,ARN46751937638,2026-06-13T16:37:38+05:30,18175.00,NETTED
rfn_0028,pay_00178,,2026-06-11T14:17:31+05:30,977.99,NETTED
rfn_0022,pay_00362,ARN47976780879,2026-06-20T06:50:49+05:30,8414.01,NETTED
rfn_0015,pay_00155,ARN56988121870,2026-06-23T09:35:57+05:30,45061.75,NETTED
rfn_0006,pay_00260,ARN60604617871,2026-06-19T20:29:43+05:30,1765.00,NETTED
rfn_0034,pay_00399,ARN72751095212,2026-06-28T21:02:32+05:30,19347.49,INSTANT
rfn_0032,pay_amb50,,2026-07-04T11:16:53+05:30,2025.00,INSTANT
rfn_0002,pay_amb31,ARN66224631630,2026-07-02T23:40:02+05:30,6577.00,NETTED
rfn_0016,pay_00221,ARN26538248303,2026-06-07T17:13:21+05:30,12066.49,NETTED
